Sample,Roll,Pitch,Yaw
306,12.193,25.471,288.382
307,12.139,25.384,288.412
308,12.086,25.298,288.442
309,12.032,25.212,288.471
310,11.977,25.127,288.501
311,11.922,25.041,288.53
312,11.867,24.952,288.559
313,11.812,24.864,288.587
314,11.759,24.776,288.616
315,11.705,24.688,288.645
316,11.65,24.599,288.674
317,11.596,24.513,288.703
318,11.541,24.425,288.732
319,11.488,24.337,288.762
320,11.433,24.25,288.793
321,11.378,24.162,288.823
322,11.322,24.076,288.853
323,11.267,23.989,288.884
324,11.211,23.903,288.914
325,11.157,23.816,288.944
326,11.103,23.729,288.976
327,11.05,23.64,289.008
328,10.996,23.549,289.039
329,10.939,23.46,289.069
330,10.885,23.37,289.099
331,10.832,23.278,289.131
332,10.777,23.188,289.162
333,10.724,23.097,289.195
334,10.672,23.007,289.228
335,10.617,22.917,289.262
336,10.563,22.827,289.295
337,10.509,22.736,289.329
338,10.454,22.646,289.361
339,10.4,22.554,289.394
340,10.346,22.464,289.427
341,10.292,22.374,289.46
342,10.237,22.282,289.492
343,10.184,22.194,289.528
344,10.131,22.104,289.563
345,10.078,22.014,289.599
346,10.026,21.925,289.635
347,9.974,21.835,289.672
348,9.92,21.743,289.706
349,9.866,21.652,289.74
350,9.813,21.56,289.774
351,9.758,21.469,289.807
352,9.704,21.378,289.842
353,9.65,21.285,289.878
354,9.596,21.193,289.914
355,9.543,21.1,289.95
356,9.49,21.007,289.987
357,9.436,20.913,290.024
358,9.38,20.821,290.058
359,9.325,20.729,290.092
360,9.268,20.637,290.126
361,9.213,20.544,290.16
362,9.159,20.451,290.195
363,9.106,20.358,290.232
364,9.05,20.267,290.267
365,8.996,20.175,290.303
366,8.942,20.082,290.339
367,8.888,19.989,290.375
368,8.835,19.896,290.412
369,8.781,19.802,290.448
370,8.726,19.708,290.483
371,8.67,19.614,290.518
372,8.616,19.519,290.554
373,8.562,19.423,290.59
374,8.511,19.331,290.632
375,8.458,19.24,290.673
376,8.405,19.149,290.714
377,8.353,19.057,290.756
378,8.301,18.965,290.799
379,8.245,18.872,290.837
380,8.189,18.779,290.874
381,8.135,18.685,290.913
382,8.08,18.592,290.951
383,8.027,18.496,290.989
384,7.975,18.404,291.032
385,7.924,18.311,291.076
386,7.873,18.219,291.118
387,7.82,18.126,291.161
388,7.769,18.034,291.205
389,7.716,17.939,291.247
390,7.662,17.845,291.287
391,7.609,17.749,291.329
392,7.555,17.656,291.37
393,7.501,17.561,291.412
394,7.449,17.466,291.454
395,7.397,17.37,291.498
396,7.346,17.275,291.542
397,7.292,17.179,291.584
398,7.242,17.084,291.628
399,7.189,16.989,291.673
400,7.138,16.894,291.716
401,7.086,16.798,291.759
402,7.032,16.705,291.803
403,6.981,16.609,291.846
404,6.927,16.512,291.889
405,6.875,16.415,291.933
406,6.822,16.316,291.976
407,6.769,16.217,292.02
408,6.719,16.118,292.066
409,6.666,16.017,292.108
410,6.613,15.917,292.148
411,6.556,15.817,292.188
412,6.503,15.715,292.228
413,6.447,15.615,292.268
414,6.395,15.513,292.31
415,6.343,15.416,292.356
416,6.291,15.319,292.403
417,6.24,15.223,292.45
418,6.188,15.126,292.496
419,6.137,15.028,292.543
420,6.083,14.93,292.587
421,6.03,14.829,292.631
422,5.976,14.73,292.675
423,5.924,14.63,292.721
424,5.872,14.528,292.766
425,5.818,14.431,292.813
426,5.764,14.335,292.86
427,5.71,14.238,292.908
428,5.659,14.141,292.957
429,5.605,14.044,293.005
430,5.554,13.949,293.057
431,5.501,13.855,293.108
432,5.452,13.761,293.161
433,5.401,13.666,293.214
434,5.351,13.569,293.268
435,5.298,13.472,293.317
436,5.246,13.373,293.365
437,5.194,13.274,293.414
438,5.14,13.178,293.464
439,5.086,13.079,293.513
440,5.037,12.983,293.566
441,4.987,12.887,293.619
442,4.934,12.791,293.671
443,4.882,12.696,293.724
444,4.829,12.6,293.776
445,4.78,12.5,293.829
446,4.729,12.4,293.881
447,4.677,12.301,293.933
448,4.624,12.202,293.985
449,4.572,12.103,294.038
450,4.521,12.002,294.091
451,4.47,11.902,294.144
452,4.419,11.801,294.196
453,4.369,11.699,294.248
454,4.32,11.597,294.302
455,4.269,11.498,294.357
456,4.218,11.4,294.411
457,4.164,11.303,294.465
458,4.111,11.206,294.52
459,4.059,11.108,294.575
460,4.008,11.009,294.63
461,3.96,10.911,294.688
462,3.91,10.812,294.745
463,3.862,10.713,294.803
464,3.809,10.616,294.86
465,3.76,10.518,294.917
466,3.709,10.42,294.977
467,3.659,10.321,295.037
468,3.61,10.223,295.096
469,3.562,10.125,295.157
470,3.509,10.029,295.217
471,3.458,9.929,295.274
472,3.408,9.83,295.331
473,3.358,9.73,295.389
474,3.31,9.631,295.448
475,3.26,9.532,295.509
476,3.209,9.435,295.571
477,3.162,9.336,295.633
478,3.113,9.24,295.697
479,3.064,9.143,295.762
480,3.016,9.046,295.827
481,2.969,8.945,295.889
482,2.917,8.848,295.95
483,2.866,8.752,296.013
484,2.819,8.653,296.077
485,2.77,8.554,296.141
486,2.722,8.455,296.204
487,2.671,8.358,296.266
488,2.625,8.261,296.332
489,2.572,8.166,296.397
490,2.523,8.069,296.461
491,2.47,7.975,296.527
492,2.422,7.88,296.595
493,2.368,7.787,296.661
494,2.318,7.693,296.729
495,2.265,7.598,296.795
496,2.216,7.498,296.861
497,2.169,7.395,296.925
