Samples, Mx, My, Mz
330, 26.099, 11.399, 19.566
331, 26.099, 11.399, 19.566
332, 25.952, 11.248, 21.530
333, 25.952, 11.248, 21.530
334, 25.952, 11.248, 21.530
335, 25.952, 11.248, 21.530
336, 25.952, 11.248, 21.530
337, 25.805, 11.399, 20.170
338, 25.805, 11.399, 20.170
339, 25.805, 11.399, 20.170
340, 25.805, 11.399, 20.170
341, 25.805, 11.399, 20.170
342, 26.981, 10.488, 21.077
343, 26.981, 10.488, 21.077
344, 26.981, 10.488, 21.077
345, 26.981, 10.488, 21.077
346, 26.981, 10.488, 21.077
347, 26.981, 12.007, 21.530
348, 26.981, 12.007, 21.530
349, 26.981, 12.007, 21.530
350, 26.981, 12.007, 21.530
351, 26.981, 12.007, 21.530
352, 27.570, 11.855, 21.681
353, 27.570, 11.855, 21.681
354, 27.570, 11.855, 21.681
355, 27.570, 11.855, 21.681
356, 27.570, 11.855, 21.681
357, 25.952, 11.248, 21.530
358, 25.952, 11.248, 21.530
359, 25.952, 11.248, 21.530
360, 25.952, 11.248, 21.530
361, 25.952, 11.248, 21.530
362, 25.364, 10.640, 19.566
363, 25.364, 10.640, 19.566
364, 25.364, 10.640, 19.566
365, 25.364, 10.640, 19.566
366, 25.364, 10.640, 19.566
367, 26.246, 11.551, 21.530
368, 26.246, 11.551, 21.530
369, 26.246, 11.551, 21.530
370, 26.246, 11.551, 21.530
371, 26.246, 11.551, 21.530
372, 24.923, 10.792, 21.832
373, 24.923, 10.792, 21.832
374, 24.923, 10.792, 21.832
375, 24.923, 10.792, 21.832
376, 24.923, 10.792, 21.832
377, 25.805, 12.463, 21.681
378, 25.805, 12.463, 21.681
379, 25.805, 12.463, 21.681
380, 25.805, 12.463, 21.681
381, 25.805, 12.463, 21.681
382, 26.393, 10.336, 20.170
383, 26.393, 10.336, 20.170
384, 26.393, 10.336, 20.170
385, 26.393, 10.336, 20.170
386, 26.393, 10.336, 20.170
387, 27.129, 12.159, 20.170
388, 27.129, 12.159, 20.170
389, 27.129, 12.159, 20.170
390, 27.129, 12.159, 20.170
391, 27.129, 12.159, 20.170
392, 25.364, 9.272, 20.926
393, 25.364, 9.272, 20.926
394, 25.364, 9.272, 20.926
395, 25.364, 9.272, 20.926
396, 25.364, 9.272, 20.926
397, 27.129, 11.399, 21.681
398, 27.129, 11.399, 21.681
399, 27.129, 11.399, 21.681
400, 27.129, 11.399, 21.681
401, 27.129, 11.399, 21.681
402, 26.687, 10.488, 21.832
403, 26.687, 10.488, 21.832
404, 26.687, 10.488, 21.832
405, 26.687, 10.488, 21.832
