Graph
Time (Seconds),Data (kg*m^2/s^2),Data0 (kg*m^2/s^2),Data1 (kg*m^2/s^2),Data2 (kg*m^2/s^2)
9.100000,0.158205,-0.030498,-0.118419,0.000196
9.150001,0.163580,-0.031599,-0.113536,-0.000156
9.200000,0.164311,-0.032606,-0.115049,-0.000191
9.250000,0.153484,-0.029619,-0.117969,0.000323
9.300000,0.157374,-0.030991,-0.113621,-0.000140
9.350000,0.152467,-0.029470,-0.116155,0.000058
9.400001,0.151403,-0.030140,-0.118092,0.000071
9.450000,0.157046,-0.031062,-0.114782,-0.000282
9.500000,0.146498,-0.029080,-0.116285,0.000141
9.550000,0.145121,-0.028300,-0.115162,-0.000030
9.600000,0.147319,-0.028987,-0.114436,-0.000121
9.650001,0.149788,-0.029109,-0.118192,-0.000053
9.700000,0.139562,-0.026994,-0.114021,0.000079
9.750000,0.142873,-0.027602,-0.115530,-0.000027
9.800000,0.137854,-0.026785,-0.116288,0.000093
9.850000,0.144849,-0.027965,-0.115136,-0.000134
9.900001,0.136359,-0.026325,-0.114136,0.000068
9.950000,0.134682,-0.025941,-0.116212,0.000112
10.000000,0.136253,-0.026096,-0.112155,-0.000125
10.050000,0.138171,-0.026624,-0.115953,-0.000061
10.100000,0.134322,-0.025459,-0.112472,-0.000056
10.150001,0.127012,-0.024559,-0.117008,0.000262
10.200000,0.137094,-0.026376,-0.113359,-0.000182
10.250000,0.130853,-0.025112,-0.114832,0.000049
10.300000,0.131822,-0.025140,-0.112158,-0.000093
10.350000,0.131219,-0.025270,-0.115693,0.000038
10.400001,0.130644,-0.025137,-0.113774,-0.000028
10.450000,0.130511,-0.025099,-0.112563,-0.000076
10.500000,0.131982,-0.025022,-0.117145,0.000094
10.550000,0.129872,-0.025166,-0.112710,-0.000060
10.600000,0.136439,-0.026469,-0.113081,-0.000109
10.650001,0.128514,-0.024588,-0.114664,0.000118
10.700000,0.131829,-0.025277,-0.115768,0.000131
10.750000,0.131311,-0.025569,-0.113182,-0.000051
10.800000,0.131649,-0.025230,-0.114241,0.0000034
10.850000,0.133409,-0.025639,-0.114453,-0.000045
10.900001,0.133995,-0.025781,-0.113748,-0.000090
10.950000,0.130858,-0.024930,-0.114910,0.000079
11.000000,0.132336,-0.025615,-0.114372,-0.00000083
11.050000,0.132663,-0.025773,-0.115755,0.000085
11.100000,0.131461,-0.024865,-0.112846,-0.000063
11.150001,0.132677,-0.025825,-0.114697,-0.000015
11.200000,0.132321,-0.025631,-0.112895,-0.000079
11.250000,0.132256,-0.025435,-0.115240,0.000056
11.300000,0.132903,-0.025936,-0.115135,0.000060
11.350000,0.129923,-0.024552,-0.112809,-0.000084
11.400001,0.131289,-0.025235,-0.119867,0.000179
11.450000,0.132672,-0.025855,-0.111495,-0.000127
11.500000,0.125439,-0.023857,-0.125791,0.000340
11.550000,0.120942,-0.023941,-0.122461,-0.000149
11.600000,0.122319,-0.025826,-0.129296,0.000089
11.650001,0.129583,-0.029091,-0.108684,-0.000362
11.700000,0.109004,-0.023212,-0.142821,0.000674
11.750000,0.111667,-0.025057,-0.132203,-0.000110
11.800000,0.107293,-0.024640,-0.129475,-0.000532
11.850000,0.115703,-0.031426,-0.125800,-0.000103
11.900001,0.086847,-0.020651,-0.155445,0.000257
11.950000,0.093733,-0.027158,-0.136439,-0.001070
12.000000,0.095065,-0.028002,-0.150390,0.000224
12.050000,0.095399,-0.027963,-0.133746,0.000334
12.100000,0.075822,-0.023885,-0.162855,0.000082
12.150001,0.077299,-0.024059,-0.147433,-0.000875
12.200000,0.075845,-0.024113,-0.153863,-0.000553
12.250000,0.080082,-0.024328,-0.149971,0.001054
12.300000,0.065205,-0.021938,-0.168734,-0.000358
12.350000,0.065336,-0.021973,-0.160562,-0.000248
12.400001,0.064475,-0.021130,-0.158919,-0.000145
12.450000,0.067300,-0.022912,-0.158306,0.000878
12.500000,0.054086,-0.020438,-0.170361,-0.001255
12.550000,0.059785,-0.022266,-0.168990,-0.000606
12.600000,0.052946,-0.020486,-0.162637,-0.000740
12.650001,0.056687,-0.023029,-0.167607,-0.001353
12.700000,0.052903,-0.017079,-0.168638,0.002936
12.750000,0.050611,-0.022720,-0.169364,-0.003296
12.800000,0.054905,-0.021894,-0.167036,-0.001112
12.850000,0.049824,-0.017896,-0.167052,0.000448
12.900001,0.048976,-0.014751,-0.175455,0.003651
12.950000,0.049811,-0.020296,-0.169237,-0.001127
13.000000,0.049175,-0.018142,-0.171857,0.000651
13.050000,0.051696,-0.018426,-0.168839,0.001231
13.100000,0.049403,-0.017660,-0.171219,0.000752
13.150001,0.047805,-0.017400,-0.171143,0.000580
13.200000,0.050286,-0.018277,-0.170678,0.000772
13.250000,0.047228,-0.018100,-0.170113,-0.000214
13.300000,0.046393,-0.018776,-0.171657,-0.000414
13.350000,0.049864,-0.019583,-0.168918,-0.000233
13.400001,0.043450,-0.017671,-0.173962,-0.000413
13.450000,0.045937,-0.019614,-0.170959,-0.001191
13.500000,0.043736,-0.019501,-0.169541,-0.001243
13.550000,0.045238,-0.016077,-0.171845,0.001788
13.600000,0.040504,-0.019298,-0.171922,-0.002138
13.650001,0.045069,-0.018245,-0.171739,0.000371
13.700000,0.042772,-0.014091,-0.173059,0.002423
13.750000,0.041217,-0.016606,-0.172619,0.000268
13.800000,0.045342,-0.018413,-0.172367,-0.000030
13.850000,0.042954,-0.017234,-0.171168,0.000023
13.900001,0.039879,-0.016037,-0.173456,0.000133
13.950000,0.044648,-0.018395,-0.172389,-0.000067
14.000000,0.044153,-0.017548,-0.174307,0.000105
14.050000,0.044207,-0.018170,-0.170927,-0.000048
14.100000,0.042505,-0.017754,-0.173616,0.000011
14.150001,0.045677,-0.019174,-0.171605,-0.000118
14.200000,0.043049,-0.017756,-0.172594,0.000026
14.250000,0.043775,-0.017840,-0.171361,0.000021
14.300000,0.046135,-0.019273,-0.174126,-0.000057
14.350000,0.043651,-0.017895,-0.172413,0.000030
14.400001,0.044642,-0.018335,-0.172559,0.0000030
14.450000,0.044882,-0.018450,-0.172602,-0.0000039
14.500000,0.044499,-0.018056,-0.172621,0.000049
14.550000,0.045020,-0.018696,-0.173293,-0.000020
14.600000,0.044881,-0.018476,-0.172224,-0.0000069
14.650001,0.045210,-0.018909,-0.172616,-0.000064
14.700000,0.045680,-0.018244,-0.171958,0.000065
14.750000,0.044012,-0.018027,-0.173171,0.000055
14.800000,0.045276,-0.018954,-0.172688,-0.000052
14.850000,0.046586,-0.019217,-0.174536,0.0000078
14.900001,0.045220,-0.018894,-0.170780,-0.000073
14.950000,0.045225,-0.018516,-0.173003,0.000032
15.000000,0.045753,-0.018772,-0.172866,0.0000099
15.050000,0.045879,-0.018838,-0.172818,0.000003
15.100000,0.045849,-0.018910,-0.173495,0.0000018
15.150001,0.046433,-0.019175,-0.171753,-0.000052
15.200000,0.045669,-0.018628,-0.173926,0.000045
15.250000,0.046057,-0.018784,-0.172537,0.000008
15.300000,0.046110,-0.018559,-0.172242,0.000236
15.350000,0.047716,-0.017570,-0.172962,0.001545
15.400001,0.049438,-0.016996,-0.175164,0.002631
15.450000,0.045877,-0.021695,-0.170992,-0.002882
15.500000,0.049986,-0.013025,-0.173741,0.005436
15.550000,0.053201,-0.016380,-0.169783,0.003625
15.600000,0.052949,-0.016399,-0.174050,0.003234
15.650001,0.054197,-0.028631,-0.166291,-0.009045
15.700000,0.054195,-0.017541,-0.166448,0.002233
15.750000,0.060063,-0.022881,-0.171387,-0.001164
15.800000,0.057124,-0.022363,-0.165201,-0.001870
15.850000,0.062385,-0.023836,-0.168988,-0.000967
15.900001,0.057909,-0.023122,-0.168715,-0.001942
15.950000,0.068507,-0.024784,-0.160906,0.000151
16.000000,0.069136,-0.024961,-0.160682,0.000455
16.049999,0.070938,-0.025490,-0.163131,-0.000820
16.099998,0.063884,-0.020960,-0.169547,-0.000459
16.150000,0.084000,-0.028041,-0.151497,-0.000227
16.199999,0.081110,-0.026574,-0.159942,0.000076
16.250000,0.086361,-0.026581,-0.153153,-0.000586
16.299999,0.076964,-0.021666,-0.165323,0.000349
16.349998,0.102730,-0.031862,-0.145646,-0.000440
16.400000,0.102100,-0.029044,-0.145538,-0.000125
16.449999,0.106278,-0.028708,-0.147942,-0.000029
16.500000,0.110174,-0.028217,-0.143498,-0.000149
16.549999,0.100945,-0.023718,-0.157133,0.000663
16.599998,0.122328,-0.029974,-0.130756,-0.000457
16.650000,0.113047,-0.027176,-0.145015,0.000200
16.699999,0.123995,-0.030088,-0.145757,0.000261
16.750000,0.120265,-0.028749,-0.136695,0.000044
16.799999,0.127097,-0.030540,-0.132206,-0.000293
16.849998,0.124797,-0.030234,-0.137985,0.000110
16.900000,0.127131,-0.029868,-0.129644,-0.000065
16.949999,0.123366,-0.028301,-0.140961,0.000251
17.000000,0.131454,-0.031011,-0.127765,-0.000216
17.049999,0.124807,-0.027979,-0.132144,0.000205
