Graph
Time (Seconds),Data0 (kg*m^2/s^2),Data (kg*m^2/s^2)
23.099998,0.934157,-0.00000018
23.150000,0.934157,-0.00000018
23.199999,0.934157,-0.00000018
23.250000,0.934157,-0.00000018
23.299999,0.934157,-0.00000018
23.349998,0.934157,-0.00000018
23.400000,0.934157,-0.00000018
23.449999,0.934157,-0.00000018
23.500000,0.934157,-0.00000018
23.549999,0.934157,-0.00000018
23.599998,0.934157,-0.00000018
23.650000,0.934157,-0.00000018
23.699999,0.934157,-0.00000018
23.750000,0.934157,-0.00000018
23.799999,0.934157,-0.00000018

