2.17,-12.06,-12.38,3.19,0.38,-0.923254,0.0987718,0.0987718,8.91507E-06
2.22,-12.31,-12.44,3.38,0.5,-0.91321,0.0968575,0.0968575,0.000124346
2.27,-12.69,-12.56,3.56,0.62,-0.928449,0.095,0.095,-0.000323071
2.32,-13.25,-12.62,3.81,0.62,-0.934035,0.100819,0.100819,-0.000719771
2.37,-13.94,-12.62,4,0.44,-0.921861,0.0901233,0.0901233,-0.000746016
2.42,-14.94,-12.88,4.25,0.38,-0.945579,0.102305,0.102305,-0.000497584
2.47,-16.06,-13.19,4.56,0.38,-0.913319,0.0990131,0.0990131,-0.000153056
2.52,-17.19,-13.38,4.75,0.31,-0.887962,0.0843934,0.0843934,-0.000172734
2.57,-18.5,-13.44,5,0.38,-0.906919,0.0981942,0.0981942,-5.48038E-05
2.62,-19.94,-13.44,5.25,0.38,-0.891529,0.0906009,0.0906009,-0.000466394
2.67,-21.5,-13.81,5.5,0.69,-0.883287,0.0903437,0.0903437,0.000391201
2.72,-23.19,-14.25,5.75,0.81,-0.872143,0.0905812,0.0905812,-0.000797446
2.77,-24.69,-14.12,6.12,0.75,-0.814487,0.0868558,0.0868558,0.000166866
2.82,-26.31,-14.31,6.56,0.94,-0.850319,0.0874833,0.0874833,0.00024577
2.87,-27.94,-14.62,6.94,1.06,-0.818306,0.074168,0.074168,-0.000231515
2.92,-29.88,-14.94,7.38,1.38,-0.842934,0.0860572,0.0860572,-0.000239154
2.97,-31.81,-15.19,7.94,1.5,-0.783352,0.0780222,0.0780222,-0.000439645
3.02,-34,-15.81,8.38,1.56,-0.798031,0.0661666,0.0661666,-0.000892136
3.07,-36.38,-16.19,9,1.69,-0.763009,0.0787305,0.0787305,-0.000168751
3.12,-38.62,-16.38,9.31,1.75,-0.683545,0.0317589,0.0317589,0.000243459
3.17,-41.06,-16.81,9.94,2.06,-0.722498,0.0758472,0.0758472,6.35537E-05
3.22,-43.19,-16.88,10.62,2.19,-0.613178,0.0351051,0.0351051,0.000465536
3.27,-45.44,-16.94,11.12,2.44,-0.641583,0.0223496,0.0223496,4.84051E-05
3.32,-47.31,-16.62,11.75,2.38,-0.553318,0.0189506,0.0189506,0.00034514
3.37,-49.31,-16.75,12.44,2.69,-0.605791,0.0183244,0.0183244,0.000401847
3.42,-51.44,-16.62,13.44,3.19,-0.568247,0.0217567,0.0217567,0.000379287
3.47,-53.25,-16.5,14.38,3.5,-0.479895,-0.0268569,-0.0268569,0.000309717
3.52,-55,-16.19,15.56,3.56,-0.489567,-0.0149653,-0.0149653,-0.00027497
3.57,-56.5,-15.44,16.56,3.38,-0.425844,-0.0625595,-0.0625595,0.000379214
3.62,-58.06,-15.12,17.69,3.38,-0.469787,-0.0479352,-0.0479352,6.24122E-05
3.67,-59.5,-14.69,18.69,3.31,-0.405591,-0.0826328,-0.0826328,0.000258619
3.72,-60.75,-14.19,19.62,3.31,-0.379703,-0.0924434,-0.0924434,0.000727566
3.77,-62.06,-13.69,20.44,3.5,-0.392439,-0.101129,-0.101129,0.000397021
3.82,-63.12,-13.19,21.19,3.44,-0.339813,-0.115087,-0.115087,-5.23169E-06
3.87,-64.06,-12.44,21.75,3.38,-0.332687,-0.129797,-0.129797,0.000542517
3.92,-65.19,-12.12,22.31,3.62,-0.378416,-0.118887,-0.118887,-5.17559E-05
3.97,-66.25,-11.81,23,3.62,-0.32019,-0.123821,-0.123821,-0.000406368
4.02,-67.12,-11.56,23.19,3.56,-0.284114,-0.172523,-0.172523,0.000225882
4.07,-67.81,-11.38,23.44,3.5,-0.285157,-0.139114,-0.139114,0.000340761
4.12,-68.25,-11.19,23.62,3.5,-0.265434,-0.152042,-0.152042,0.000718385
4.17,-68.44,-10.56,23.31,3.25,-0.246019,-0.180094,-0.180094,0.000352867
4.22,-68.75,-9.94,23.31,3.06,-0.314388,-0.123181,-0.123181,-0.000130695
4.27,-69.19,-9.75,23.81,3.06,-0.324225,-0.115248,-0.115248,-0.000234011
4.33,-69.56,-9.38,24.06,3,-0.262551,-0.172127,-0.172127,0.000246924
4.38,-69.94,-9.06,24.31,2.94,-0.286123,-0.154004,-0.154004,-0.000163566
4.43,-70.44,-8.88,24.81,3,-0.291406,-0.144497,-0.144497,-9.91208E-05
4.48,-70.81,-8.62,25.12,3,-0.243144,-0.180983,-0.180983,0.000232649
4.53,-71.19,-8.44,25.69,2.94,-0.264871,-0.154378,-0.154378,-0.000240586
4.58,-71.5,-8.19,26.06,2.81,-0.239827,-0.190043,-0.190043,6.72585E-05
4.64,-71.94,-8.06,26.69,2.75,-0.256829,-0.172244,-0.172244,-5.79995E-05
4.68,-72.12,-7.75,27.06,2.62,-0.208722,-0.192613,-0.192613,0.000446427
4.73,-72.06,-7.5,27.38,2.31,-0.214857,-0.200665,-0.200665,0.00010463
4.78,-72.12,-7.19,27.56,2.12,-0.254376,-0.198067,-0.198067,0.000108244
4.83,-72.25,-7,28.19,1.88,-0.259145,-0.164289,-0.164289,-0.000402988
4.88,-72.25,-6.69,28.62,1.56,-0.220473,-0.213479,-0.213479,0.000233466
4.93,-72.5,-6.38,29.19,1.5,-0.267489,-0.192161,-0.192161,0.000123933
4.98,-72.56,-6,29.75,1.06,-0.213836,-0.211143,-0.211143,-0.000431774
5.03,-72.81,-5.38,30.31,0.94,-0.245975,-0.21299,-0.21299,0.000714495
5.08,-73.06,-5.06,31.19,0.94,-0.245208,-0.200095,-0.200095,-5.87533E-05
