Angle_graph,,,
Time (Seconds),shoulder_pitch (Degrees),elbow_pitch (Degrees),shoulder_yaw (Degrees)
18.549999,3.137038,0,-1.4E-05
18.599998,3.137038,0,-1.4E-05
18.65,3.137038,0,-1.4E-05
18.699999,3.137038,0,-1.4E-05
18.75,3.137038,0,-1.4E-05
18.799999,3.137038,0,-1.4E-05
18.849998,3.137038,0,-1.4E-05
18.9,3.137038,0,-1.4E-05
18.949999,3.137038,0,-1.4E-05
19,3.137038,0,-1.4E-05
19.049999,3.137038,0,-1.4E-05
19.099998,3.137038,0,-1.4E-05
19.15,3.137038,0,-1.4E-05
19.199999,3.137038,0,-1.4E-05
19.25,3.137038,0,-1.4E-05
19.299999,3.137038,0,-1.4E-05
19.349998,3.137038,0,-1.4E-05
19.4,3.137038,0,-1.4E-05
19.449999,3.137038,0,-1.4E-05
19.5,3.137038,0,-1.4E-05
19.549999,3.137038,0,-1.4E-05
19.599998,3.137038,0,-1.4E-05
19.65,3.137038,0,-1.4E-05
19.699999,3.137038,0,-1.4E-05
19.75,3.137038,0,-1.4E-05
19.799999,3.137038,0,-1.4E-05
19.849998,3.137038,0,-1.4E-05
19.9,3.137038,0,-1.4E-05
19.949999,3.137038,0,-1.4E-05
20,3.137038,0,-1.4E-05
20.049999,3.137038,0,-1.4E-05
20.099998,3.137038,0,-1.4E-05
20.15,3.137038,0,-1.4E-05
20.199999,3.137038,0,-1.4E-05
20.25,3.137038,0,-1.4E-05
20.299999,3.137038,0,-1.4E-05
20.349998,3.137038,0,-1.4E-05
20.4,3.137038,0,-1.4E-05
20.449999,3.137038,0,-1.4E-05
20.5,3.137038,0,-1.4E-05
20.549999,3.137038,0,-1.4E-05
20.599998,3.137038,0,-1.4E-05
20.65,3.137038,0,-1.4E-05
20.699999,3.137038,0,-1.4E-05
20.75,3.137038,0,-1.4E-05
20.799999,3.137038,0,-1.4E-05
20.849998,3.137038,0,-1.4E-05
20.9,3.137038,0,-1.4E-05
20.949999,3.137038,0,-1.4E-05
21,3.137038,0,-1.4E-05
21.049999,3.137038,0,-1.4E-05
21.099998,3.137038,0,-1.4E-05
21.15,3.137038,0,-1.4E-05
21.199999,3.137038,0,-1.4E-05
21.25,3.137038,0,-1.4E-05
21.299999,3.137038,0,-1.4E-05
21.349998,3.137038,0,-1.4E-05
21.4,3.137038,0,-1.4E-05
21.449999,3.137038,0,-1.4E-05
21.5,3.137038,0,-1.4E-05
21.549999,3.137038,0,-1.4E-05
21.599998,3.137038,0,-1.4E-05
21.65,3.137038,0,-1.4E-05
21.699999,3.137038,0,-1.4E-05
21.75,3.137038,0,-1.4E-05
21.799999,3.137038,0,-1.4E-05
21.849998,3.137038,0,-1.4E-05
21.9,3.137038,0,-1.4E-05
21.949999,3.137038,0,-1.4E-05
22,3.137038,0,-1.4E-05
22.049999,3.137038,0,-1.4E-05
22.099998,3.137038,0,-1.4E-05
22.15,3.137038,0,-1.4E-05
22.199999,3.137038,0,-1.4E-05
22.25,3.137038,0,-1.4E-05
