560,9.12,2
561,9.06,1.94
562,8.94,2
563,9,2.06
564,9.12,2.06
565,9.25,2
566,9.44,2
567,9.44,2
568,9.44,2.06
569,9.5,2.06
570,9.5,2.06
571,9.56,2
572,9.5,2
573,9.44,2
574,9.38,1.94
