Torque_graph,,,
Time (Seconds),shoulder_pitch (kg*m^2/s^2),elbow_pitch (kg*m^2/s^2),shoullder_yaw (kg*m^2/s^2)
14.85,0.550743,5.2E-06,-0.000182
14.900001,0.575619,5.5E-06,-0.000198
14.95,0.599883,5.8E-06,-0.000215
15,0.623509,6.1E-06,-0.000229
15.05,0.646478,6.4E-06,-0.000242
15.1,0.66875,6.6E-06,-0.000259
15.150001,0.690301,6.9E-06,-0.000266
15.2,0.711113,7E-06,-0.000281
15.25,0.731154,7.5E-06,-0.00029
15.3,0.750395,7.6E-06,-0.0003
15.35,0.768822,7.9E-06,-0.000313
15.400001,0.786399,8E-06,-0.000313
15.45,0.803112,8.4E-06,-0.000328
15.5,0.81894,8.6E-06,-0.000336
15.55,0.833849,8.9E-06,-0.000339
15.6,0.847827,9E-06,-0.000343
15.650001,0.860851,9.3E-06,-0.000352
15.7,0.872904,9.6E-06,-0.000359
15.75,0.883952,9.7E-06,-0.000357
15.8,0.894003,9.9E-06,-0.000362
15.85,0.903021,1E-05,-0.000369
15.900001,0.902483,-0.000153,-0.000387
15.95,0.896607,-0.000392,-0.000424
16,0.897554,-0.000469,-0.000436
16.049999,0.901818,-0.000458,-0.000415
16.099998,0.905474,-0.000441,-0.000408
16.15,0.907687,-0.000437,-0.000413
16.199999,0.908938,-0.000441,-0.000416
16.25,0.909731,-0.000444,-0.000414
16.299999,0.910236,-0.000445,-0.000412
16.349998,0.910519,-0.000446,-0.000411
16.4,0.9191,-0.000277,-0.00039
16.449999,0.931612,-4E-05,-0.000361
16.5,0.935796,3.6E-05,-0.000354
16.549999,0.935295,2.2E-05,-0.000371
16.599998,0.934322,2.7E-06,-0.000373
16.65,0.934011,-3.1E-06,-0.000376
16.699999,0.934064,-2.2E-06,-0.000375
16.75,0.934148,-1.9E-07,-0.000373
16.799999,0.934171,5.6E-08,-0.000372
16.849998,0.934165,3.6E-08,-0.000377
16.9,0.934157,-2.9E-07,-0.00037
16.949999,0.934156,-1.4E-07,-0.000373
17,0.934157,-1.1E-07,-0.000371
17.049999,0.934156,-3E-07,-0.000378
17.099998,0.934158,-1.7E-07,-0.000372
17.15,0.934164,-9.6E-08,-0.000377
17.199999,0.934158,-2E-07,-0.000374
17.25,0.934158,-1.8E-07,-0.000372
17.299999,0.934158,-2E-07,-0.000373
17.349998,0.934158,-1.8E-07,-0.000374
17.4,0.934158,-1.8E-07,-0.000374
17.449999,0.934158,-1.8E-07,-0.000374
17.5,0.934158,-1.8E-07,-0.000374
17.549999,0.934158,-1.8E-07,-0.000374
17.599998,0.934158,-1.8E-07,-0.000374
17.65,0.934158,-1.8E-07,-0.000374
17.699999,0.934158,-1.8E-07,-0.000374
17.75,0.934158,-1.8E-07,-0.000374
17.799999,0.934158,-1.8E-07,-0.000374
17.849998,0.934158,-1.8E-07,-0.000374
17.9,0.934158,-1.8E-07,-0.000374
17.949999,0.934158,-1.8E-07,-0.000374
18,0.934158,-1.8E-07,-0.000374
18.049999,0.934158,-1.8E-07,-0.000374
18.099998,0.934158,-1.8E-07,-0.000374
18.15,0.934158,-1.8E-07,-0.000374
18.199999,0.934158,-1.8E-07,-0.000374
18.25,0.934158,-1.8E-07,-0.000374
18.299999,0.934158,-1.8E-07,-0.000374
18.349998,0.934158,-1.8E-07,-0.000374
18.4,0.934158,-1.8E-07,-0.000374
18.449999,0.934158,-1.8E-07,-0.000374
18.5,0.934158,-1.8E-07,-0.000374
18.549999,0.934158,-1.8E-07,-0.000374
18.599998,0.934158,-1.8E-07,-0.000374
18.65,0.934158,-1.8E-07,-0.000374
18.699999,0.934158,-1.8E-07,-0.000374
18.75,0.934158,-1.8E-07,-0.000374
18.799999,0.934158,-1.8E-07,-0.000374
18.849998,0.934158,-1.8E-07,-0.000374
18.9,0.934158,-1.8E-07,-0.000374
18.949999,0.934158,-1.8E-07,-0.000374
19,0.934158,-1.8E-07,-0.000374
19.049999,0.934158,-1.8E-07,-0.000374
19.099998,0.934158,-1.8E-07,-0.000374
19.15,0.934158,-1.8E-07,-0.000374
19.199999,0.934158,-1.8E-07,-0.000374
19.25,0.934158,-1.8E-07,-0.000374
19.299999,0.934158,-1.8E-07,-0.000374
19.349998,0.934158,-1.8E-07,-0.000374
19.4,0.934158,-1.8E-07,-0.000374
19.449999,0.934158,-1.8E-07,-0.000374
19.5,0.934158,-1.8E-07,-0.000374
19.549999,0.934158,-1.8E-07,-0.000374
19.599998,0.934158,-1.8E-07,-0.000374
19.65,0.934158,-1.8E-07,-0.000374
19.699999,0.934158,-1.8E-07,-0.000374
19.75,0.934158,-1.8E-07,-0.000374
19.799999,0.934158,-1.8E-07,-0.000374
19.849998,0.934158,-1.8E-07,-0.000374
19.9,0.934158,-1.8E-07,-0.000374
19.949999,0.934158,-1.8E-07,-0.000374
20,0.934158,-1.8E-07,-0.000374
20.049999,0.934158,-1.8E-07,-0.000374
20.099998,0.934158,-1.8E-07,-0.000374
20.15,0.934158,-1.8E-07,-0.000374
20.199999,0.934158,-1.8E-07,-0.000374
20.25,0.934158,-1.8E-07,-0.000374
20.299999,0.934158,-1.8E-07,-0.000374
20.349998,0.934158,-1.8E-07,-0.000374
20.4,0.934158,-1.8E-07,-0.000374
20.449999,0.934158,-1.8E-07,-0.000374
20.5,0.934158,-1.8E-07,-0.000374
20.549999,0.934158,-1.8E-07,-0.000374
20.599998,0.934158,-1.8E-07,-0.000374
20.65,0.934158,-1.8E-07,-0.000374
20.699999,0.934158,-1.8E-07,-0.000374
20.75,0.934158,-1.8E-07,-0.000374
20.799999,0.934158,-1.8E-07,-0.000374
20.849998,0.934158,-1.8E-07,-0.000374
20.9,0.934158,-1.8E-07,-0.000374
20.949999,0.934158,-1.8E-07,-0.000374
21,0.934158,-1.8E-07,-0.000374
21.049999,0.934158,-1.8E-07,-0.000374
21.099998,0.934158,-1.8E-07,-0.000374
21.15,0.934158,-1.8E-07,-0.000374
21.199999,0.934158,-1.8E-07,-0.000374
21.25,0.934158,-1.8E-07,-0.000374
21.299999,0.934158,-1.8E-07,-0.000374
21.349998,0.934158,-1.8E-07,-0.000374
21.4,0.934158,-1.8E-07,-0.000374
21.449999,0.934158,-1.8E-07,-0.000374
21.5,0.934158,-1.8E-07,-0.000374
21.549999,0.934158,-1.8E-07,-0.000374
21.599998,0.934158,-1.8E-07,-0.000374
21.65,0.934158,-1.8E-07,-0.000374
21.699999,0.934158,-1.8E-07,-0.000374
21.75,0.934158,-1.8E-07,-0.000374
21.799999,0.934158,-1.8E-07,-0.000374
21.849998,0.934158,-1.8E-07,-0.000374
21.9,0.934158,-1.8E-07,-0.000374
21.949999,0.934158,-1.8E-07,-0.000374
22,0.934158,-1.8E-07,-0.000374
22.049999,0.934158,-1.8E-07,-0.000374
22.099998,0.934158,-1.8E-07,-0.000374
22.15,0.934158,-1.8E-07,-0.000374
22.199999,0.934158,-1.8E-07,-0.000374
22.25,0.934158,-1.8E-07,-0.000374
