Angle_graph
Time (Seconds),shoulder_pitch (Degrees),elbow_pitch (Degrees),shoulder_yaw (Degrees)
11.400001,345.691681,0.000027,80.329597
11.450000,347.704742,0.000027,80.295334
11.500000,349.716187,0.000027,80.260719
11.550000,351.694916,0.000027,80.226189
11.600000,353.538696,0.000027,80.192978
11.650001,355.199738,0.000027,80.162048
11.700000,356.664124,0.000027,80.133827
11.750000,357.928925,0.000027,80.108788
11.800000,358.993469,0.000027,80.087166
11.850000,359.857361,0.000027,80.068932
11.900001,360.520844,0.000027,80.054146
11.950000,360.983917,0.000027,80.042862
12.000000,361.246948,0.000027,80.035133
12.050000,361.340942,0.000027,80.030449
12.100000,361.368164,0.000027,80.027840
12.150001,361.376129,0.000027,80.026787

