Torque_graph
Time (Seconds),shoulder_pitch (kg*m^2/s^2),elbow_pitch (kg*m^2/s^2),shoullder_yaw (kg*m^2/s^2)
10.050000,0.185833,0.00000035,0.433261
10.100000,0.204139,0.00000041,0.427405
10.150001,0.222187,0.00000049,0.420987
10.200000,0.239939,0.00000032,0.414047
10.250000,0.257382,0.00000053,0.406571
10.300000,0.274489,0.00000048,0.398591
10.350000,0.291235,0.00000048,0.390096
10.400001,0.307609,0.00000063,0.381104
10.450000,0.323584,0.00000055,0.371650
10.500000,0.339132,0.00000068,0.361707
10.550000,0.354249,0.00000062,0.351326
10.600000,0.368908,0.00000073,0.340496
10.650001,0.383093,0.00000087,0.329240
10.700000,0.396784,0.00000065,0.317582
10.750000,0.409965,0.0000008,0.305529
10.800000,0.422624,0.00000093,0.293078
10.850000,0.434742,0.00000094,0.280295
10.900001,0.446309,0.00000090,0.267153
10.950000,0.457305,0.0000009,0.253685
11.000000,0.467720,0.0000011,0.239908
11.050000,0.477544,0.0000011,0.225841
11.100000,0.486760,0.0000011,0.211500
11.150001,0.495369,0.0000012,0.196914
11.200000,0.503350,0.0000013,0.182079
11.250000,0.510703,0.0000011,0.167044
11.300000,0.517411,0.0000014,0.151795
11.350000,0.523474,0.0000013,0.136395
11.400001,0.528893,0.0000015,0.120815
11.450000,0.533643,0.0000014,0.105116
11.500000,0.537738,0.0000013,0.089291
11.550000,0.542135,0.000028,0.073572
11.600000,0.547949,0.000108,0.058683
11.650001,0.550927,0.000122,0.045074
11.700000,0.552242,0.000112,0.032902
11.750000,0.553033,0.000109,0.022252
11.800000,0.553509,0.000110,0.013173
11.850000,0.553729,0.000110,0.005661
11.900001,0.553794,0.000110,-0.000286
11.950000,0.553780,0.000109,-0.004662
12.000000,0.553767,0.000109,-0.007467
12.050000,0.552778,0.000083,-0.008867
12.100000,0.549648,0.0000023,-0.009426
12.150001,0.548626,-0.000011,-0.009522

